"ContainerNumber","ScanTime","PicNumber","XmlFile"
"MSNU9001395","12/1/2025 1:42:42 PM","23301FS01202512010001","C:\NickScan\FS6000\Archive\2025\1201\0001\23301FS01202512010001.xml"
"MSCU6770704","12/1/2025 2:58:36 PM","23301FS01202512010009","C:\NickScan\FS6000\Archive\2025\1201\0009\23301FS01202512010009.xml"
"HASU1039533","12/2/2025 6:01:21 AM","23301FS01202512020009","C:\NickScan\FS6000\Archive\2025\1202\0009\23301FS01202512020009.xml"
"MRKU7697610","12/2/2025 6:22:58 AM","23301FS01202512020010","C:\NickScan\FS6000\Archive\2025\1202\0010\23301FS01202512020010.xml"
"TCLU5549563","12/2/2025 12:15:52 PM","23301FS01202512020013","C:\NickScan\FS6000\Archive\2025\1202\0013\23301FS01202512020013.xml"
"MSNU3839143","12/2/2025 12:34:51 PM","23301FS01202512020014","C:\NickScan\FS6000\Archive\2025\1202\0014\23301FS01202512020014.xml"
"HASU4716221","12/2/2025 5:25:32 PM","23301FS01202512020046","C:\NickScan\FS6000\Archive\2025\1202\0046\23301FS01202512020046.xml"
"MEDU3787660","12/3/2025 11:18:06 AM","23301FS01202512030019","C:\NickScan\FS6000\Archive\2025\1203\0019\23301FS01202512030019.xml"
"SUDU7846052","12/3/2025 11:26:01 AM","23301FS01202512030021","C:\NickScan\FS6000\Archive\2025\1203\0021\23301FS01202512030021.xml"
"CAAU4526501","12/3/2025 11:39:57 AM","23301FS01202512030022","C:\NickScan\FS6000\Archive\2025\1203\0022\23301FS01202512030022.xml"
"MSDU8294529","12/3/2025 2:52:05 PM","23301FS01202512030033","C:\NickScan\FS6000\Archive\2025\1203\0033\23301FS01202512030033.xml"
"MSNU7294761","12/3/2025 2:55:23 PM","23301FS01202512030034","C:\NickScan\FS6000\Archive\2025\1203\0034\23301FS01202512030034.xml"
"MRKU9805421","12/3/2025 3:49:39 PM","23301FS01202512030037","C:\NickScan\FS6000\Archive\2025\1203\0037\23301FS01202512030037.xml"
"MSMU2751516","12/3/2025 4:12:39 PM","23301FS01202512030042","C:\NickScan\FS6000\Archive\2025\1203\0042\23301FS01202512030042.xml"
"HASU1100063","12/3/2025 5:30:22 PM","23301FS01202512030049","C:\NickScan\FS6000\Archive\2025\1203\0049\23301FS01202512030049.xml"
"MEDU7756040","12/3/2025 8:38:49 PM","23301FS01202512030063","C:\NickScan\FS6000\Archive\2025\1203\0063\23301FS01202512030063.xml"
"MSDU7878030","12/3/2025 8:42:31 PM","23301FS01202512030064","C:\NickScan\FS6000\Archive\2025\1203\0064\23301FS01202512030064.xml"
"CAIU4389839","12/3/2025 8:44:29 PM","23301FS01202512030065","C:\NickScan\FS6000\Archive\2025\1203\0065\23301FS01202512030065.xml"
"MSNU6603892","12/4/2025 11:21:39 AM","23301FS01202512040017","C:\NickScan\FS6000\Archive\2025\1204\0017\23301FS01202512040017.xml"
