"Database","Schema","Table","FullTableName","SourceCount","TargetCount","Status","ExistsOnSource","ExistsOnTarget","Error"
"NS_CIS","dbo","AnalysisAssignments","[dbo].[AnalysisAssignments]","43526","43526","Complete","True","True",
"NS_CIS","dbo","AnalysisGroups","[dbo].[AnalysisGroups]","11613","11613","Complete","True","True",
"NS_CIS","dbo","AnalysisRecords","[dbo].[AnalysisRecords]","14412","14412","Complete","True","True",
"NS_CIS","dbo","AnalysisSettings","[dbo].[AnalysisSettings]","1","1","Complete","True","True",
"NS_CIS","dbo","AnalysisSubmissions","[dbo].[AnalysisSubmissions]","0","0","Complete","True","True",
"NS_CIS","dbo","ApplicationLogs","[dbo].[ApplicationLogs]","0","0","Complete","True","True",
"NS_CIS","dbo","AseScans","[dbo].[AseScans]","33278","33278","Complete","True","True",
"NS_CIS","dbo","AseSyncLogs","[dbo].[AseSyncLogs]","10804","10804","Complete","True","True",
"NS_CIS","dbo","AuditDecisions","[dbo].[AuditDecisions]","44","44","Complete","True","True",
"NS_CIS","dbo","AuditLogs","[dbo].[AuditLogs]","16","16","Complete","True","True",
"NS_CIS","dbo","BLReviewRecords","[dbo].[BLReviewRecords]","5","5","Complete","True","True",
"NS_CIS","dbo","ContainerBOERelations","[dbo].[ContainerBOERelations]","19966","19966","Complete","True","True",
"NS_CIS","dbo","ContainerCompletenessStatuses","[dbo].[ContainerCompletenessStatuses]","33907","33907","Complete","True","True",
"NS_CIS","dbo","ContainerReferences","[dbo].[ContainerReferences]","0","0","Complete","True","True",
"NS_CIS","dbo","ContainerReviewDecisions","[dbo].[ContainerReviewDecisions]","5","5","Complete","True","True",
"NS_CIS","dbo","Containers","[dbo].[Containers]","0","0","Complete","True","True",
"NS_CIS","dbo","CrossRecordScans","[dbo].[CrossRecordScans]","21","21","Complete","True","True",
"NS_CIS","dbo","EndpointUsageLog","[dbo].[EndpointUsageLog]","256991","256991","Complete","True","True",
"NS_CIS","dbo","ErrorInvestigations","[dbo].[ErrorInvestigations]","0","0","Complete","True","True",
"NS_CIS","dbo","FileSystemCaches","[dbo].[FileSystemCaches]","0","0","Complete","True","True",
"NS_CIS","dbo","FixAuditLogs","[dbo].[FixAuditLogs]","0","0","Complete","True","True",
"NS_CIS","dbo","FixProposals","[dbo].[FixProposals]","0","0","Complete","True","True",
"NS_CIS","dbo","FS6000FileProcessings","[dbo].[FS6000FileProcessings]","0","0","Complete","True","True",
"NS_CIS","dbo","FS6000Images","[dbo].[FS6000Images]","4146","4146","Complete","True","True",
"NS_CIS","dbo","FS6000Scans","[dbo].[FS6000Scans]","4457","4457","Complete","True","True",
"NS_CIS","dbo","FS6000SyncLogs","[dbo].[FS6000SyncLogs]","5581","5581","Complete","True","True",
"NS_CIS","dbo","ICUMSDownloadQueues","[dbo].[ICUMSDownloadQueues]","0","0","Complete","True","True",
"NS_CIS","dbo","ICUMSSubmissionQueues","[dbo].[ICUMSSubmissionQueues]","0","0","Complete","True","True",
"NS_CIS","dbo","ImageAnalysisDecisions","[dbo].[ImageAnalysisDecisions]","334","334","Complete","True","True",
"NS_CIS","dbo","ImageAnalysisDecisions_Backup_20251029","[dbo].[ImageAnalysisDecisions_Backup_20251029]","14","42","Incomplete","True","True",
"NS_CIS","dbo","ImageCaches","[dbo].[ImageCaches]","499","499","Complete","True","True",
"NS_CIS","dbo","ManualBOERequests","[dbo].[ManualBOERequests]","7286","7286","Complete","True","True",
"NS_CIS","dbo","Notifications","[dbo].[Notifications]","0","0","Complete","True","True",
"NS_CIS","dbo","PermissionAuditLogs","[dbo].[PermissionAuditLogs]","0","0","Complete","True","True",
"NS_CIS","dbo","Permissions","[dbo].[Permissions]","225","225","Complete","True","True",
"NS_CIS","dbo","RolePermissions","[dbo].[RolePermissions]","1017","1017","Complete","True","True",
"NS_CIS","dbo","Roles","[dbo].[Roles]","12","12","Complete","True","True",
"NS_CIS","dbo","ServiceConfigurations","[dbo].[ServiceConfigurations]","0","0","Complete","True","True",
"NS_CIS","dbo","SettingsHistory","[dbo].[SettingsHistory]","4","4","Complete","True","True",
"NS_CIS","dbo","SystemSettings","[dbo].[SystemSettings]","109","109","Complete","True","True",
"NS_CIS","dbo","SystemStates","[dbo].[SystemStates]","0","0","Complete","True","True",
"NS_CIS","dbo","UserPermissions","[dbo].[UserPermissions]","0","0","Complete","True","True",
"NS_CIS","dbo","UserPreferences","[dbo].[UserPreferences]","0","0","Complete","True","True",
"NS_CIS","dbo","UserReadiness","[dbo].[UserReadiness]","5","15","Incomplete","True","True",
"NS_CIS","dbo","Users","[dbo].[Users]","11","11","Complete","True","True",
"ICUMS","dbo","IcumBatchLogs","[dbo].[IcumBatchLogs]","121","121","Complete","True","True",
"ICUMS","dbo","IcumContainerData","[dbo].[IcumContainerData]","50099","50099","Complete","True","True",
"ICUMS","dbo","IcumDocuments","[dbo].[IcumDocuments]","0","0","Complete","True","True",
"ICUMS","dbo","IcumManifestItems","[dbo].[IcumManifestItems]","5555863","5555863","Complete","True","True",
"ICUMS_Downloads","dbo","BOEDocuments","[dbo].[BOEDocuments]","219989","0","Empty","True","True",
"ICUMS_Downloads","dbo","CMRRedownloadQueue","[dbo].[CMRRedownloadQueue]","0","0","Complete","True","True",
"ICUMS_Downloads","dbo","CMRValidationMetrics","[dbo].[CMRValidationMetrics]","1859","1860","Incomplete","True","True",
"ICUMS_Downloads","dbo","DownloadedFiles","[dbo].[DownloadedFiles]","49016","49016","Complete","True","True",
"ICUMS_Downloads","dbo","ICUMSDownloadAudit","[dbo].[ICUMSDownloadAudit]","115003","115003","Complete","True","True",
"ICUMS_Downloads","dbo","ICUMSDownloadQueue","[dbo].[ICUMSDownloadQueue]","279","319","Incomplete","True","True",
"ICUMS_Downloads","dbo","ICUMSDownloadQueueArchive","[dbo].[ICUMSDownloadQueueArchive]","10688","10688","Complete","True","True",
"ICUMS_Downloads","dbo","IngestionLogs","[dbo].[IngestionLogs]","0","0","Complete","True","True",
"ICUMS_Downloads","dbo","ManifestItems","[dbo].[ManifestItems]","10261511","2960000","Incomplete","True","True",
"ICUMS_Downloads","dbo","VehicleImports","[dbo].[VehicleImports]","8895","215","Incomplete","True","True",
